state,level,week,year
AK,1,35,2018
AK,1,34,2018
AK,1,33,2018
AK,1,32,2018
AK,1,31,2018
AK,1,30,2018
AK,1,29,2018
AK,1,28,2018
AK,1,27,2018
AK,1,26,2018
AK,1,25,2018
AK,1,24,2018
AK,1,23,2018
AK,1,22,2018
AK,1,21,2018
AK,1,20,2018
AK,2,19,2018
AK,2,18,2018
AK,4,17,2018
AK,7,16,2018
AK,7,15,2018
AK,10,14,2018
AK,10,13,2018
AK,10,12,2018
AK,10,11,2018
AK,10,10,2018
AK,10,9,2018
AK,10,8,2018
AK,10,7,2018
AK,10,6,2018
AK,10,5,2018
AK,8,4,2018
AK,6,3,2018
AK,6,2,2018
AK,6,1,2018
AK,7,52,2017
AK,6,51,2017
AK,5,50,2017
AK,6,49,2017
AK,5,48,2017
AK,4,47,2017
AK,4,46,2017
AK,2,45,2017
AK,2,44,2017
AK,3,43,2017
AK,4,42,2017
AK,2,41,2017
AK,1,40,2017
AK,3,39,2017
AK,4,38,2017
AK,4,37,2017
AK,3,36,2017
AK,1,35,2017
AK,1,34,2017
AK,1,33,2017
AK,1,32,2017
AK,2,31,2017
AK,1,30,2017
AK,1,29,2017
AK,1,28,2017
AK,1,27,2017
AK,1,26,2017
AK,4,25,2017
AK,1,24,2017
AK,1,23,2017
AK,1,22,2017
AK,1,21,2017
AK,2,20,2017
AK,2,19,2017
AK,5,18,2017
AK,3,17,2017
AK,5,16,2017
AK,6,15,2017
AK,7,14,2017
AK,8,13,2017
AK,5,12,2017
AK,5,11,2017
AK,3,10,2017
AK,7,9,2017
AK,7,8,2017
AK,8,7,2017
AK,7,6,2017
AK,5,5,2017
AK,3,4,2017
AK,4,3,2017
AK,5,2,2017
AK,1,1,2017
AK,3,52,2016
AK,2,51,2016
AK,1,50,2016
AK,1,49,2016
AK,1,48,2016
AK,1,47,2016
AK,1,46,2016
AK,1,45,2016
AK,1,44,2016
AK,1,43,2016
AK,1,42,2016
AK,2,41,2016
AK,1,40,2016
AK,1,39,2016
AK,1,38,2016
AK,1,37,2016
AK,1,36,2016
AK,1,35,2016
AK,1,34,2016
AK,1,33,2016
AK,1,32,2016
AK,1,31,2016
AK,1,30,2016
AK,1,29,2016
AK,1,28,2016
AK,1,27,2016
AK,1,26,2016
AK,1,25,2016
AK,1,24,2016
AK,1,23,2016
AK,1,22,2016
AK,1,21,2016
AK,3,20,2016
AK,1,19,2016
AK,1,18,2016
AK,1,17,2016
AK,4,16,2016
AK,2,15,2016
AK,4,14,2016
AK,6,13,2016
AK,5,12,2016
AZ,1,29,2012
AZ,1,30,2012
AZ,1,31,2012
AZ,1,32,2012
AZ,1,33,2012
AZ,1,34,2012
AZ,1,35,2012
AZ,1,36,2012
AZ,1,37,2012
AZ,1,38,2012
AZ,1,39,2012
AZ,1,40,2012
AZ,1,41,2012
AZ,1,42,2012
AZ,1,43,2012
AZ,1,44,2012
AZ,1,45,2012
AZ,1,46,2012
AZ,1,47,2012
AZ,1,48,2012
AZ,1,49,2012
AZ,2,50,2012
AZ,3,51,2012
AZ,6,52,2012
AZ,6,1,2013
AZ,6,2,2013
AZ,9,3,2013
AZ,10,4,2013
AZ,8,5,2013
AZ,7,6,2013
AZ,6,7,2013
AZ,4,8,2013
AZ,4,9,2013
AZ,2,10,2013
AZ,2,11,2013
AZ,1,12,2013
AZ,1,13,2013
AZ,1,14,2013
AZ,1,15,2013
AZ,1,16,2013
AZ,1,17,2013
AZ,1,18,2013
AZ,1,19,2013
AZ,1,20,2013
AZ,1,21,2013
AZ,1,22,2013
AZ,1,23,2013
AZ,1,24,2013
AZ,1,25,2013
AZ,1,26,2013
AZ,1,27,2013
AZ,1,28,2013
AZ,1,29,2013
AZ,1,30,2013
AZ,1,31,2013
AZ,1,32,2013
AZ,1,33,2013
AZ,1,34,2013
AZ,1,35,2013
AZ,1,36,2013
AZ,1,37,2013
AZ,1,38,2013
AZ,1,39,2013
AZ,1,40,2013
AZ,1,41,2013
AZ,1,42,2013
AZ,1,43,2013
AZ,1,44,2013
AZ,1,45,2013
AZ,1,46,2013
AZ,1,47,2013
AZ,1,48,2013
AZ,1,49,2013
AZ,1,50,2013
AZ,2,51,2013
AZ,3,52,2013
AZ,3,1,2014
AZ,3,2,2014
AZ,5,3,2014
AZ,6,4,2014
AZ,6,5,2014
AZ,5,6,2014
AZ,4,7,2014
AZ,3,8,2014
AZ,3,9,2014
AZ,2,10,2014
AZ,2,11,2014
AZ,1,12,2014
AZ,1,13,2014
AZ,1,14,2014
AZ,1,15,2014
AZ,1,16,2014
AZ,1,17,2014
AZ,1,18,2014
AZ,1,19,2014
AZ,1,20,2014
AZ,1,21,2014
AZ,1,22,2014
AZ,1,23,2014
AZ,1,24,2014
AZ,1,25,2014
AZ,1,26,2014
AZ,1,27,2014
AZ,1,28,2014
AZ,1,29,2014
AZ,1,30,2014
AZ,1,31,2014
AZ,1,32,2014
AZ,1,33,2014
AZ,1,34,2014
AZ,1,35,2014
AZ,1,36,2014
AZ,1,37,2014
AZ,1,38,2014
AZ,1,39,2014
AZ,1,40,2014
AZ,1,41,2014
AZ,1,42,2014
AZ,1,43,2014
AZ,1,44,2014
AZ,1,45,2014
AZ,1,46,2014
AZ,1,47,2014
